"","date","datetime","site","precip","Ca","Mg","K","Na","Al","NH4","pH","SO4","NO3","Cl","PO4","SiO2","sp.cond","note","canonical"
"130",1966-06-21,NA,"S",NA,0.06,0.02,0.07,0.11,0.04,0.04,4.12,3.91,1.6,0.31,NA,NA,NA,7,TRUE
"131",1966-06-28,NA,"S",NA,0.12,0.05,0.19,0.08,0.09,0.31,4,6.56,1.33,0.35,NA,NA,NA,7,TRUE
"132",1966-07-05,NA,"S",NA,0.43,0.02,0.04,0.09,0.05,0.12,4.34,2.14,0.43,1.1,NA,NA,NA,7,TRUE
"133",1966-07-12,NA,"S",NA,0.005,0.02,0.04,0.05,0.03,0.11,3.92,5.65,1.88,0.22,NA,NA,NA,7,TRUE
"134",1966-07-19,NA,"S",NA,1.57,0.2,0.14,0.29,0.03,0.18,3.73,7.29,3.2,8.1,NA,NA,NA,2,TRUE
"135",1966-07-26,NA,"S",NA,0.07,0.01,0.005,0.08,0.04,0.26,4.2,2.86,1.02,0.18,NA,NA,NA,7,TRUE
"136",1966-08-02,NA,"S",NA,0.44,0.03,0.03,0.23,0.08,0.36,3.78,8.13,2.4,1.9,NA,NA,NA,7,TRUE
"137",1966-08-09,NA,"S",NA,0.38,0.05,0.04,0.25,0.12,0.46,3.74,7.82,4.01,1.2,NA,NA,NA,7,TRUE
"138",1966-08-16,NA,"S",NA,0.06,0.01,0.005,0.02,0.05,0.08,4.07,3.17,1.04,0.84,NA,NA,NA,7,TRUE
"139",1966-08-23,NA,"S",NA,0.09,0.02,0.005,0.005,0.08,0.14,4.17,3.02,0.76,0.6,NA,NA,NA,7,TRUE
"140",1966-09-07,NA,"S",NA,0.32,0.04,0.02,0.11,0.05,0.05,4.36,2.02,0.5,0.81,NA,NA,NA,7,TRUE
"141",1966-09-20,NA,"S",NA,0.1,0.09,0.08,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"142",1966-09-28,NA,"S",NA,0.05,0.01,0.005,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"143",1966-10-03,NA,"S",NA,0.25,0.02,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"144",1966-10-10,NA,"S",NA,0.27,0.05,0.04,0.16,0.36,0.27,4.01,4.32,2.12,2.09,NA,NA,NA,2,TRUE
"145",1966-10-17,NA,"S",NA,0.96,0.24,0.09,0.29,0.37,0.57,3.75,6.8,2.93,5.8,NA,NA,NA,2,TRUE
"146",1966-10-24,NA,"S",NA,0.28,0.01,0.005,0.06,0.6,0.02,3.98,1.52,0.32,5.7,NA,NA,NA,2,TRUE
"147",1966-11-09,NA,"S",NA,0.08,0.03,0.03,0.15,0.15,0.04,4.08,1.44,0.9,2.68,NA,NA,NA,2,TRUE
"148",1966-11-14,NA,"S",NA,0.14,0.03,0.04,0.12,0.29,0.51,3.9,4.4,2.92,2.53,NA,NA,NA,2,TRUE
"149",1966-11-21,NA,"S",NA,0.62,0.1,0.27,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"150",1966-11-28,NA,"S",NA,1.04,0.09,0.2,0.33,0.22,1.5,3.6,8.64,6.6,10.4,NA,NA,NA,2,TRUE
"151",1966-12-12,NA,"S",NA,0.11,0.02,0.03,0.16,0.15,0.03,4,2.34,0.93,2.28,NA,NA,NA,2,TRUE
"152",1966-12-20,NA,"S",NA,0.12,0.01,0.37,0.07,0.04,0.15,4.68,0.64,0.81,0.54,NA,NA,NA,1,FALSE
"153",1966-12-27,NA,"S",NA,0.04,0.01,0.005,0.05,0.01,0.01,4.74,0.4,0.34,0.21,NA,NA,NA,1,FALSE
"154",1967-01-03,NA,"S",NA,0.005,0.005,0.02,0.02,0.01,0.03,4.64,0.33,0.72,0.14,NA,NA,NA,7,TRUE
"155",1967-01-09,NA,"S",NA,0.16,0.05,0.06,0.3,0.05,0.34,3.86,5.2,3.67,0.87,NA,NA,NA,7,TRUE
"156",1967-01-16,NA,"S",NA,0.3,0.04,0.1,0.11,0.06,0.27,4.04,1.98,4.19,0.52,NA,NA,NA,7,TRUE
"157",1967-01-25,NA,"S",NA,0.24,0.06,0.21,0.2,0.07,0.55,3.97,4.69,2.44,0.6,NA,NA,NA,7,TRUE
"158",1967-01-30,NA,"S",NA,0.1,0.12,0.17,0.19,0.05,0.19,4.65,2.24,0.98,0.98,NA,NA,NA,1,FALSE
"159",1967-02-06,NA,"S",NA,0.03,0.03,0.02,0.25,0.04,0.08,4.34,1.92,1.99,0.63,NA,NA,NA,7,TRUE
"160",1967-02-20,NA,"S",NA,0.96,0.31,0.72,0.34,0.08,1.36,3.91,4.48,6.35,0.86,NA,0.31,NA,1,FALSE
"161",1967-02-27,NA,"S",NA,0.06,0.01,0.14,0.05,0.01,0.13,4.53,1.28,1.19,0.3,NA,0.01,NA,7,TRUE
"162",1967-03-08,NA,"S",NA,0.14,0.12,1.21,0.09,0.1,1.22,4.29,2.4,2.13,0.75,NA,0.19,NA,1,FALSE
"163",1967-03-20,NA,"S",NA,0.28,0.04,0.05,0.08,0.02,0.31,4.11,3.84,2.14,0.59,NA,0.04,NA,7,TRUE
"164",1967-04-03,NA,"S",NA,0.11,0.04,0.06,0.17,NA,NA,3.92,NA,NA,NA,NA,NA,NA,7,TRUE
"165",1967-04-10,NA,"S",NA,0.07,0.02,0.04,0.04,0.005,0.26,4.16,2.74,1.56,0.86,NA,0.05,NA,7,TRUE
"166",1967-04-17,NA,"S",NA,0.16,0.02,0.02,0.005,0.005,0.18,4.18,2.84,1.4,0.34,NA,0.05,NA,7,TRUE
"167",1967-04-25,NA,"S",NA,0.06,0.02,0.005,0.05,0.005,0.1,4.19,2.54,1.28,0.4,NA,0.05,NA,7,TRUE
"168",1967-05-09,NA,"S",NA,0.08,0.04,0.06,0.12,0.02,0.43,4.08,3.74,1.92,1.42,NA,0.02,NA,7,TRUE
"169",1967-05-15,NA,"S",NA,0.14,0.02,0.07,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"170",1967-05-22,NA,"S",NA,0.36,0.09,0.09,0.06,0.04,0.46,4.04,4.34,2.29,0.92,NA,0.04,NA,7,TRUE
"171",1967-05-29,NA,"S",NA,0.08,0.02,0.08,0.03,0.005,0.005,4.45,0.94,0.6,0.59,NA,0.02,NA,7,TRUE
"172",1967-05-31,NA,"S",NA,0.27,0.09,0.42,0.1,0.005,0.005,4.07,0.94,0.6,0.59,NA,0.02,NA,0,TRUE
"173",1967-06-13,NA,"S",NA,0.27,0.09,0.42,0.1,NA,0.35,4.07,6,1.53,0.68,NA,NA,NA,1,FALSE
"174",1967-06-19,NA,"S",NA,0.19,0.04,0.09,0.05,NA,0.45,4.1,5.2,1.55,0.59,NA,NA,NA,0,TRUE
"175",1967-06-26,NA,"S",NA,0.09,0.02,0.04,0.02,NA,0.37,3.91,5.8,1.56,1.07,NA,NA,NA,7,TRUE
"176",1967-07-03,NA,"S",NA,0.1,0.08,0.06,2.7,NA,NA,4.08,5.4,1.95,1.95,NA,NA,NA,0,TRUE
"177",1967-07-10,NA,"S",NA,0.07,0.01,0.005,0.01,NA,0.18,4.15,3,0.78,0.58,NA,NA,NA,7,TRUE
"178",1967-07-17,NA,"S",NA,0.02,0.02,0.01,0.06,NA,0.33,4.12,2.5,1.14,0.15,NA,NA,NA,0,TRUE
"179",1967-07-24,NA,"S",NA,0.13,0.03,0.07,0.04,NA,0.32,3.76,5.9,2.14,0.54,NA,NA,NA,1,FALSE
"180",1967-07-31,NA,"S",NA,0.14,0.03,0.07,0.01,NA,0.1,4.17,1.8,0.8,0.32,NA,NA,NA,1,FALSE
"181",1967-08-07,NA,"S",NA,0.28,0.06,0.06,0.12,NA,NA,3.59,8.9,3.67,0.55,NA,NA,NA,0,TRUE
"182",1967-08-14,NA,"S",NA,0.14,0.03,0.06,0.04,NA,0.33,3.82,5.1,1.93,0.37,NA,NA,NA,0,TRUE
"183",1967-08-21,NA,"S",NA,0.11,0.02,0.04,0.01,NA,0.33,3.94,4.1,1.14,0.12,NA,NA,NA,1,FALSE
"184",1967-08-28,NA,"S",NA,0.05,0.01,0.03,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE
"185",1967-09-05,NA,"S",NA,0.27,0.05,0.07,0.04,NA,0.14,4.1,3.6,1.13,0.22,NA,NA,NA,0,TRUE
"186",1967-09-11,NA,"S",NA,0.07,0.01,0.03,0.04,NA,0.16,4.08,2.9,0.9,0.19,NA,NA,NA,7,TRUE
"187",1967-09-25,NA,"S",NA,0.08,0.02,0.05,0.04,NA,0.25,4.04,4.2,1.17,0.24,NA,NA,NA,7,TRUE
"188",1967-10-02,NA,"S",NA,0.01,0.01,0.02,0.08,NA,0.11,4.54,1.4,0.62,0.22,NA,NA,NA,7,TRUE
