Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB
2011,1,3,1,BEAL,3,107,6627,25.4,0,384.98,80.06,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,108,6628,23.7,0,322.35,67.59,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,109,6629,13.8,0,44.33,16.34,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,110,6630,15.6,0,71.86,25.09,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,111,6631,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,112,6632,16.8,0,72.17,25.10,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,113,6633,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,114,6634,12.4,3,34.13,12.96,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,115,6635,16.2,0,65.91,23.17,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,116,6636,26.7,0,437.16,90.34,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,117,6637,22.9,0,157.93,49.80,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,118,6638,41.3,5,134.96,24.80,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,119,6639,25.1,5,53.00,8.68,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,120,6640,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,121,6641,14.1,0,57.89,20.32,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,122,6642,25.6,0,203.98,69.00,1.00,625.00,0.00,H
2011,1,3,1,BEPA,11,123,6643,14.1,5,20.33,2.63,1.00,625.00,0.00,H
2011,1,3,1,BEPA,11,124,6644,21.1,4,163.48,11.99,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,125,6645,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,126,6646,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,127,6647,17.3,0,77.67,26.77,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,128,6648,13.0,0,38.30,14.35,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,129,6649,11.9,0,30.89,11.86,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,130,6650,25.9,5,57.62,9.32,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,131,6651,21.6,0,136.05,43.73,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,132,6652,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,133,6653,18.9,5,25.02,4.62,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,134,6654,15.0,5,13.69,2.78,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,135,6655,36.2,0,412.61,135.95,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,136,6656,12.5,0,34.81,13.19,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,137,6657,14.2,5,11.87,2.47,1.00,625.00,0.00,H
2011,1,3,1,ACRU,13,138,6658,14.8,0,132.73,29.42,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,139,6659,16.0,5,16.19,3.20,1.00,625.00,0.00,H
2011,1,3,1,ACRU,13,140,6660,26.8,0,594.11,107.78,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,141,6661,14.1,0,57.89,20.32,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,142,6662,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,143,6663,16.2,0,65.91,23.17,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,144,6664,11.1,5,10.75,1.37,1.00,625.00,0.00,H
2011,1,3,1,BEPA,11,145,6665,15.0,5,23.67,3.06,1.00,625.00,0.00,H
2011,1,3,1,BEPA,11,146,6666,12.2,5,14.19,1.82,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,147,6667,16.2,5,16.72,3.29,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,148,6668,19.5,0,115.44,39.77,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,149,6669,13.5,0,42.00,15.57,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,150,6670,20.8,0,229.88,48.92,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,151,6671,33.3,0,349.03,115.76,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,152,6672,32.5,0,332.33,110.43,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,153,6673,21.5,5,57.42,7.55,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,154,6674,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,155,6675,15.0,0,66.09,23.13,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,156,6676,42.0,0,1338.15,259.52,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,157,6677,18.8,0,95.71,32.15,1.00,625.00,0.00,H
2011,1,3,1,ACRU,13,158,6678,20.8,0,315.84,62.81,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,159,6679,34.5,0,374.77,123.95,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,160,6680,25.1,0,195.81,66.33,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,161,6681,13.5,0,52.74,18.56,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,162,6682,19.3,4,75.70,8.26,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,163,6683,18.2,0,99.76,34.52,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,164,6684,17.7,0,82.25,28.15,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,165,6685,15.0,3,54.45,19.58,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,166,6686,11.1,5,8.74,1.75,1.00,625.00,0.00,H
